id,event-type-1,event-id-1,event-type-2,event-id-2,event-type-3,event-id-3,event-type-4,event-id-4,event-type-5,event-id-5,
110006,5,110506,,,,,,,,,
110007,5,110507,,,,,,,,,
110008,5,110508,,,,,,,,,
110009,5,110509,,,,,,,,,
110010,5,110510,,,,,,,,,
110011,5,110511,,,,,,,,,
110012,5,110512,,,,,,,,,
110013,5,110513,,,,,,,,,
110014,5,110514,,,,,,,,,
110015,15,111501,,,,,,,,,
110016,15,111502,,,,,,,,,
110017,15,111503,,,,,,,,,
110018,11,111101,13,111302,20,12001,,,,,
110019,11,111102,13,111301,,,,,,,
110020,7,110704,1,10101,9,110901,,,,,
110021,11,111107,7,110708,11,111108,13,111304,,,
110022,11,111110,7,110712,11,111111,9,110903,13,111311,
110023,11,111103,11,111103,11,111103,20,12002,,,
110024,7,110701,1,10101,9,110905,10,111004,,,
110025,7,110707,1,10101,10,111002,,,,,
110026,7,110715,1,10101,13,111305,,,,,
110027,7,110716,1,10101,13,111306,,,,,
110028,7,110717,1,10101,13,111307,,,,,
110029,7,110718,1,10101,13,111308,,,,,
110030,11,111113,7,110719,11,111114,,,,,
110031,7,110702,1,10101,,,,,,,
110032,7,110703,1,10101,,,,,,,
110033,7,110705,1,10101,,,,,,,
110034,7,110706,1,10101,,,,,,,
110036,7,110710,1,10101,,,,,,,
110037,7,110709,1,10101,9,110902,13,111310,,,
110038,7,110711,1,10101,,,,,,,
110039,7,110713,1,10101,10,111003,,,,,
110040,7,110714,1,10101,,,,,,,
110041,10,111001,,,,,,,,,
110042,10,111002,,,,,,,,,
110043,10,111003,,,,,,,,,
110044,4,110401,,,,,,,,,
110045,4,120401,,,,,,,,,
110046,15,121501,,,,,,,,,
110047,15,121502,,,,,,,,,
110048,5,120501,,,,,,,,,
110049,5,120502,,,,,,,,,
110050,5,120503,,,,,,,,,
110051,5,120504,,,,,,,,,
110052,5,120505,,,,,,,,,
110053,5,120506,,,,,,,,,
110054,5,120507,,,,,,,,,
110055,5,120508,,,,,,,,,
110056,5,120509,,,,,,,,,
110057,5,120510,,,,,,,,,
110058,5,120511,,,,,,,,,
110059,5,120512,,,,,,,,,
110060,8,120801,,,,,,,,,
110061,7,120701,1,10101,10,121002,,,,,
110062,7,120702,1,10101,13,121301,10,121003,,,
110063,7,120703,1,10101,,,,,,,
110064,7,120704,1,10101,,,,,,,
110065,7,120705,1,10101,,,,,,,
110066,11,121102,7,120706,1,10101,10,121005,,,
110067,7,120707,1,10101,,,,,,,
110068,7,120708,1,10101,,,,,,,
110069,7,120709,1,10101,,,,,,,
110070,7,120710,1,10101,,,,,,,
110071,7,120711,1,10101,,,,,,,
110072,11,121106,7,120712,1,10101,10,121009,5,120507,
110073,11,121103,7,120713,1,10101,10,121006,,,
110074,7,120714,1,10101,,,,,,,
110075,7,120715,1,10101,,,,,,,
110076,7,120716,1,10101,,,,,,,
110077,7,120717,1,10101,,,,,,,
110078,7,120718,1,10101,,,,,,,
110079,11,121104,7,120719,1,10101,,,,,
110080,7,120720,1,10101,,,,,,,
110081,11,121105,7,120721,1,10101,10,121007,,,
110082,7,120722,1,10101,,,,,,,
110083,7,120723,1,10101,,,,,,,
110084,7,120724,1,10101,,,,,,,
110085,7,120725,1,10101,10,121004,,,,,
110086,7,120726,1,10101,13,121307,,,,,
110087,7,120727,1,10101,,,,,,,
110088,11,121101,,,,,,,,,
110089,14,11406,13,121302,,,,,,,
110090,14,11406,13,121303,10,121008,,,,,
110091,14,11403,13,121304,20,12001,,,,,
110092,14,11408,14,11408,14,11408,20,12004,,,
110093,14,11407,14,11407,14,11407,20,12005,,,
110094,14,11409,14,11409,20,12003,,,,,
110095,14,11401,13,121305,,,,,,,
110096,14,11405,13,121306,20,12005,,,,,
110097,14,11404,,,,,,,,,
110098,10,121001,,,,,,,,,
130001,5,130501,,,,,,,,,
130002,5,130502,,,,,,,,,
130003,5,130503,,,,,,,,,
130004,5,130504,,,,,,,,,
130005,5,130505,,,,,,,,,
130006,5,130506,,,,,,,,,
130007,5,130507,,,,,,,,,
130008,5,130508,,,,,,,,,
130009,5,130509,,,,,,,,,
130010,5,130510,,,,,,,,,
130011,5,130511,,,,,,,,,
130012,5,130512,,,,,,,,,
130013,5,130513,,,,,,,,,
130014,7,10701,1,10101,,,,,,,
130015,7,10701,1,10101,,,,,,,
130016,11,131104,7,10701,1,10101,10,131001,,,
130017,7,10701,1,10101,,,,,,,
130018,7,10701,1,10101,,,,,,,
130019,7,10701,1,10101,,,,,,,
130020,7,10701,1,10101,10,131002,,,,,
130021,7,10701,1,10101,,,,,,,
130022,7,10701,1,10101,10,131003,,,,,
130023,7,10701,1,10101,,,,,,,
130024,7,10701,1,10101,10,131004,,,,,
130025,7,10701,1,10101,13,131306,,,,,
130026,7,10701,1,10101,,,,,,,
130027,7,10701,1,10101,10,131006,,,,,
130028,7,10701,1,10101,,,,,,,
130029,7,10701,1,10101,,,,,,,
130030,7,10701,1,10101,,,,,,,
130031,7,10701,1,10101,,,,,,,
130032,7,10701,1,10101,,,,,,,
130033,7,10701,1,10101,10,131007,,,,,
130034,7,10701,1,10101,,,,,,,
130035,7,10701,1,10101,13,131301,,,,,
130036,7,10701,1,10101,,,,,,,
130037,7,10701,1,10101,10,131008,,,,,
130038,11,131105,7,10701,1,10101,13,131305,10,131010,
130039,11,131103,,,,,,,,,
130040,14,11412,14,11412,14,11412,20,12006,,,
130041,14,11410,13,131302,,,,,,,
130042,11,131101,,,,,,,,,
130043,11,131102,,,,,,,,,
130044,14,11411,14,11411,14,11411,20,12008,,,
130045,14,11414,13,131005,,,,,,,
130046,14,11415,13,131304,20,12006,,,,,
130047,14,11401,13,131303,,,,,,,
130048,14,11409,14,11409,14,11409,20,12003,,,
130049,14,11404,,,,,,,,,
140001,5,140501,,,,,,,,,
140002,5,140502,,,,,,,,,
140003,5,140503,,,,,,,,,
140004,5,140504,,,,,,,,,
140005,5,140505,,,,,,,,,
140006,5,140506,,,,,,,,,
140007,5,140507,,,,,,,,,
140008,5,140508,,,,,,,,,
140009,7,140701,1,10101,,,,,,,
140010,7,140702,1,10101,10,141002,,,,,
140011,7,140703,1,10101,,,,,,,
140012,7,140704,1,10101,,,,,,,
140013,7,140705,1,10101,10,141003,,,,,
140014,7,140706,1,10101,,,,,,,
140015,7,140707,1,10101,,,,,,,
140016,7,140708,1,10101,,,,,,,
140017,11,141102,7,140709,1,10101,10,141004,,,
140018,7,140710,1,10101,9,140901,,,,,
140019,7,140711,1,10101,,,,,,,
140020,7,140712,1,10101,10,141005,,,,,
140021,11,141103,7,140713,1,10101,10,141006,13,141302,
140022,7,140714,1,10101,10,141007,,,,,
140023,7,140715,1,10101,9,140902,,,,,
140024,7,140716,1,10101,,,,,,,
140025,7,140717,1,10101,,,,,,,
140026,7,140718,1,10101,13,141303,,,,,
140027,11,141105,7,140719,,,,,,,
140028,15,141501,,,,,,,,,
140029,15,141502,,,,,,,,,
140030,15,141503,,,,,,,,,
140031,10,141001,,,,,,,,,
140032,11,141101,13,141301,,,,,,,
140033,7,140720,1,10101,,,,,,,
140034,7,140721,1,10101,,,,,,,
140035,4,140401,,,,,,,,,
140036,4,140402,,,,,,,,,
140037,11,141107,7,140722,,,,,,,
150001,4,150401,,,,,,,,,
150002,5,150501,,,,,,,,,
150003,5,150502,,,,,,,,,
150004,5,150503,,,,,,,,,
150005,5,150504,,,,,,,,,
150006,5,150505,,,,,,,,,
150007,11,151102,7,150701,1,10101,10,151001,,,
150008,7,150702,1,10101,,,,,,,
150009,7,150703,1,10101,,,,,,,
150010,7,150704,1,10101,10,151002,,,,,
150011,7,150705,1,10101,,,,,,,
150012,11,151104,7,150706,,,,,,,
150013,11,151105,7,150707,1,10101,10,151003,,,
150014,7,150708,1,10101,,,,,,,
150015,11,151106,7,150709,1,10101,,,,,
150016,11,151101,,,,,,,,,
150017,11,151103,,,,,,,,,
160001,5,160501,,,,,,,,,
160002,5,160502,,,,,,,,,
160003,5,160503,,,,,,,,,
160004,5,160504,,,,,,,,,
160005,5,160505,,,,,,,,,
160006,5,160506,,,,,,,,,
160007,5,160507,,,,,,,,,
160008,4,160401,,,,,,,,,
160009,4,160402,,,,,,,,,
160010,4,160403,,,,,,,,,
160011,10,161001,,,,,,,,,
160012,11,161102,,,,,,,,,
160013,11,161103,,,,,,,,,
160014,11,161104,,,,,,,,,
160015,11,161105,,,,,,,,,
160016,11,161106,,,,,,,,,
160017,11,161107,7,160709,1,10101,,,,,
160018,7,160701,1,10101,,,,,,,
160019,7,160702,1,10101,,,,,,,
160020,7,160703,1,10101,,,,,,,
160021,7,160704,1,10101,,,,,,,
160022,7,160705,1,10101,,,,,,,
160023,7,160706,1,10101,,,,,,,
160024,7,160707,1,10101,,,,,,,
160025,7,160708,1,10101,,,,,,,
170001,11,171101,,,,,,,,,
170002,11,171102,,,,,,,,,
170003,5,170501,,,,,,,,,
170004,5,170502,,,,,,,,,
170005,5,170503,,,,,,,,,
170006,5,170504,,,,,,,,,
170007,5,170505,,,,,,,,,
170008,7,170701,1,10101,,,,,,,
170009,7,170702,1,10101,,,,,,,
170010,7,170703,1,10101,,,,,,,
170011,7,170704,1,10101,,,,,,,
170012,7,170705,1,10101,,,,,,,
170013,11,171104,7,170706,1,10101,,,,,
170014,7,170707,1,10101,,,,,,,
170015,11,171105,7,170708,1,10101,,,,,
170016,4,170401,,,,,,,,,
180001,5,180501,,,,,,,,,
180002,5,180502,,,,,,,,,
180003,5,180503,,,,,,,,,
180004,5,180504,,,,,,,,,
180005,5,180505,,,,,,,,,
180006,5,180506,,,,,,,,,
180007,4,180401,,,,,,,,,
180008,11,181101,,,,,,,,,
180009,11,181102,,,,,,,,,
180010,11,181103,7,180707,1,10101,,,,,
180011,11,181104,1,10101,,,,,,,
180012,11,181105,7,180709,1,10101,,,,,
180013,7,180701,1,10101,,,,,,,
180014,7,180702,1,10101,,,,,,,
180015,7,180703,1,10101,10,181001,,,,,
180016,7,180704,1,10101,,,,,,,
180017,7,180705,1,10101,10,181002,,,,,
180018,7,180706,1,10101,,,,,,,
180019,7,180708,1,10101,,,,,,,
190001,4,190401,,,,,,,,,
190002,4,190402,,,,,,,,,
190003,5,190501,,,,,,,,,
190004,5,190502,,,,,,,,,
190005,5,190503,,,,,,,,,
190006,5,190504,,,,,,,,,
190007,5,190505,,,,,,,,,
190008,7,190701,1,10101,,,,,,,
190009,7,190702,1,10101,,,,,,,
190010,7,190703,1,10101,,,,,,,
190011,7,190704,1,10101,10,191001,,,,,
190012,7,190705,1,10101,,,,,,,
190013,7,190706,1,10101,10,191002,,,,,
190014,7,190707,1,10101,10,191003,13,191301,,,
190015,11,191103,7,190708,1,10101,,,,,
190016,11,191101,,,,,,,,,
190017,11,191102,,,,,,,,,
200001,4,200401,,,,,,,,,
200002,4,200402,,,,,,,,,
200003,5,200501,,,,,,,,,
200004,5,200502,,,,,,,,,
200005,5,200503,,,,,,,,,
200006,5,200504,,,,,,,,,
200007,5,200505,,,,,,,,,
200008,7,200701,1,10101,10,201006,,,,,
200009,7,200702,1,10101,,,,,,,
200010,7,200703,1,10101,,,,,,,
200011,7,200704,1,10101,,,,,,,
200012,7,200705,1,10101,,,,,,,
200013,7,200706,1,10101,,,,,,,
200014,7,200707,1,10101,,,,,,,
200015,7,200708,1,10101,,,,,,,
200016,7,200710,1,10101,,,,,,,
200017,7,200712,1,10101,,,,,,,
200018,7,200713,1,10101,10,201005,13,201301,,,
200019,10,201001,,,,,,,,,
200020,11,201002,7,200709,1,10101,,,,,
200021,11,201004,7,200711,1,10101,,,,,
200022,11,201007,7,200714,1,10101,,,,,
200023,11,201003,,,,,,,,,
200024,15,201501,,,,,,,,,
200025,15,201502,,,,,,,,,
210001,4,210401,,,,,,,,,
210002,5,210501,,,,,,,,,
210003,5,210502,,,,,,,,,
210004,5,210503,,,,,,,,,
210005,5,210504,,,,,,,,,
210006,5,210505,,,,,,,,,
210007,7,210701,1,10101,,,,,,,
210008,7,210702,1,10101,,,,,,,
210009,7,210703,1,10101,,,,,,,
210010,7,210704,1,10101,13,211302,,,,,
210011,7,210705,1,10101,,,,,,,
210012,7,210706,1,10101,,,,,,,
210013,7,210707,1,10101,13,211303,,,,,
210014,7,210708,1,10101,,,,,,,
210015,7,210709,1,10101,,,,,,,
210016,7,210710,1,10101,,,,,,,
210017,7,210711,1,10101,,,,,,,
210018,7,210712,1,10101,11,211102,,,,,
210019,11,211101,13,211301,,,,,,,
220001,4,220401,,,,,,,,,
220002,5,220501,,,,,,,,,
220003,5,220502,,,,,,,,,
220004,5,220503,,,,,,,,,
220005,5,220504,,,,,,,,,
220006,5,220505,,,,,,,,,
220007,7,220701,1,10101,,,,,,,
220008,7,220702,1,10101,,,,,,,
220009,7,220703,1,10101,,,,,,,
220010,7,220704,1,10101,,,,,,,
220011,7,220705,1,10101,,,,,,,
220012,7,220706,1,10101,,,,,,,
220013,7,220707,1,10101,,,,,,,
220014,7,220708,1,10101,,,,,,,
220015,7,220709,1,10101,,,,,,,
220016,7,220710,1,10101,,,,,,,
220017,7,220711,1,10101,,,,,,,
220018,7,220712,1,10101,,,,,,,
220019,7,220713,1,10101,,,,,,,
220020,7,220714,1,10101,,,,,,,
220021,7,220715,1,10101,,,,,,,
220022,11,221103,7,220716,1,10101,,,,,
220023,11,221101,9,220901,,,,,,,
220024,11,221102,,,,,,,,,
220025,1,10101,13,221301,,,,,,,
230001,5,230501,,,,,,,,,
230002,5,230502,,,,,,,,,
230003,5,230503,,,,,,,,,
230004,5,230504,,,,,,,,,
230005,5,230505,,,,,,,,,
230006,5,230506,,,,,,,,,
230007,5,230507,,,,,,,,,
230008,5,230508,,,,,,,,,
230009,11,231101,,,,,,,,,
230010,11,231102,7,230709,1,10101,13,231301,,,
230011,15,231501,,,,,,,,,
230012,15,231502,,,,,,,,,
230013,15,231503,,,,,,,,,
230014,15,231504,,,,,,,,,
230015,15,231505,,,,,,,,,
230016,15,231506,,,,,,,,,
230017,7,230701,1,10101,,,,,,,
230018,7,230702,1,10101,,,,,,,
230019,7,230703,1,10101,,,,,,,
230020,7,230704,1,10101,,,,,,,
230021,7,230705,1,10101,,,,,,,
230022,7,230706,1,10101,,,,,,,
230023,7,230707,1,10101,,,,,,,
230024,7,230708,1,10101,,,,,,,
240001,5,240501,,,,,,,,,
240002,5,240502,,,,,,,,,
240003,5,240503,,,,,,,,,
240004,5,240504,,,,,,,,,
240005,5,240505,,,,,,,,,
240006,5,240506,,,,,,,,,
240007,11,241101,,,,,,,,,
240008,11,241102,,,,,,,,,
240009,11,241103,,,,,,,,,
240010,11,241104,7,240708,1,10101,,,,,
240011,4,240401,,,,,,,,,
240012,7,240701,1,10101,,,,,,,
240013,7,240702,1,10101,,,,,,,
240014,7,240703,1,10101,,,,,,,
240015,7,240704,1,10101,,,,,,,
240016,7,240705,1,10101,,,,,,,
240017,7,240706,1,10101,,,,,,,
240018,7,240707,1,10101,,,,,,,
250001,4,250401,,,,,,,,,
250002,5,250501,,,,,,,,,
250003,5,250502,,,,,,,,,
250004,5,250503,,,,,,,,,
250005,5,250504,,,,,,,,,
250006,5,250505,,,,,,,,,
250007,5,250506,,,,,,,,,
250008,5,250507,,,,,,,,,
250009,7,250701,1,10101,,,,,,,
250010,7,250702,1,10101,,,,,,,
250011,7,250703,1,10101,,,,,,,
250012,7,250704,1,10101,,,,,,,
250013,7,250705,1,10101,,,,,,,
250014,7,250706,1,10101,,,,,,,
250015,7,250707,1,10101,,,,,,,
250016,7,250708,1,10101,,,,,,,
250017,7,250709,1,10101,,,,,,,
250018,7,250710,1,10101,,,,,,,
250019,7,250711,1,10101,,,,,,,
250020,7,250712,1,10101,,,,,,,
250021,7,250713,1,10101,,,,,,,
250022,7,250714,1,10101,,,,,,,
250023,7,250715,1,10101,,,,,,,
250024,7,250716,1,10101,,,,,,,
250025,11,251101,9,250904,,,,,,,
250026,11,251102,7,250717,1,10101,,,,,
250027,11,251103,7,250718,1,10101,,,,,
250028,11,251104,,,,,,,,,
250029,14,251401,9,250901,13,251301,,,,,
250030,14,251402,9,250902,13,251302,,,,,
250031,14,251403,9,250903,13,251303,,,,,
250032,15,251501,,,,,,,,,
260001,5,260501,,,,,,,,,
260002,5,260502,,,,,,,,,
260003,5,260503,,,,,,,,,
260004,5,260504,,,,,,,,,
260005,5,260505,,,,,,,,,
260006,5,260506,,,,,,,,,
260007,11,261101,,,,,,,,,
260008,11,261102,,,,,,,,,
260009,11,261103,,,,,,,,,
260010,10,261001,,,,,,,,,
260011,14,261401,,,,,,,,,
260012,14,261402,13,261301,,,,,,,
260013,14,261403,13,261302,,,,,,,
260014,14,261404,,,,,,,,,
270001,4,270401,,,,,,,,,
270002,7,270701,1,10101,,,,,,,
270003,7,270702,1,10101,,,,,,,
270004,11,271101,,,,,,,,,
270005,11,271102,,,,,,,,,
270006,11,271103,,,,,,,,,
270007,11,271104,,,,,,,,,
270008,8,270801,10,271001,,,,,,,
270009,5,270501,,,,,,,,,
270010,5,270502,,,,,,,,,
270011,5,270503,,,,,,,,,
270012,5,270504,,,,,,,,,
270013,5,270505,,,,,,,,,
270014,5,270506,,,,,,,,,
280001,4,280401,9,280901,,,,,,,
280002,11,281101,7,190702,1,10101,10,281001,9,280902,
280003,7,190701,1,10101,,,,,,,
280004,7,190703,1,10101,,,,,,,
280005,11,281102,7,190704,1,10101,9,280903,,,
280006,7,190705,1,10101,,,,,,,
280007,7,190706,1,10101,,,,,,,
280008,7,190707,1,10101,,,,,,,
280009,11,281103,7,190708,1,10101,13,281301,9,280904,
280010,5,190501,,,,,,,,,
280011,5,190502,,,,,,,,,
280012,5,190503,,,,,,,,,
280013,5,190504,,,,,,,,,
280014,5,190505,10,281002,,,,,,,
280015,12,281201,,,,,,,,,
280016,12,281202,,,,,,,,,
280017,4,40401,,,,,,,,,
280018,12,281203,,,,,,,,,
280019,14,281401,,,,,,,,,
290001,4,290401,,,,,,,,,
290002,5,290501,,,,,,,,,
290003,5,290502,,,,,,,,,
290004,5,290503,,,,,,,,,
290005,5,290504,,,,,,,,,
290006,5,290505,,,,,,,,,
290007,7,290701,1,10101,,,,,,,
290008,7,290702,1,10101,,,,,,,
290009,7,290703,1,10101,,,,,,,
290010,11,291102,7,290704,1,10101,9,290902,,,
290011,7,290705,1,10101,,,,,,,
290012,7,290706,1,10101,,,,,,,
290013,11,291103,7,290707,1,10101,9,290903,,,
290014,7,290708,1,10101,,,,,,,
290015,7,290709,1,10101,,,,,,,
290016,7,290710,1,10101,,,,,,,
290017,7,290711,1,10101,,,,,,,
290018,7,290712,1,10101,,,,,,,
290019,11,291104,7,290713,1,10101,9,290904,,,
290020,7,290714,1,10101,,,,,,,
290021,7,290715,1,10101,,,,,,,
290022,7,290716,1,10101,,,,,,,
290023,7,290717,1,10101,,,,,,,
290024,11,291106,7,290718,1,10101,,,,,
290025,10,291001,9,290901,,,,,,,
290026,11,291101,,,,,,,,,
290027,11,291105,9,290905,,,,,,,
300001,4,300401,,,,,,,,,
300002,5,300501,,,,,,,,,
300003,5,300502,,,,,,,,,
300004,5,300503,,,,,,,,,
300005,5,300504,,,,,,,,,
300006,5,300505,,,,,,,,,
300007,11,301102,5,300506,13,301306,4,300402,,,
300008,5,300507,,,,,,,,,
300009,5,300508,11,301107,,,,,,,
300010,5,300509,,,,,,,,,
300011,5,300510,,,,,,,,,
300012,11,301105,7,300701,1,10101,13,301304,,,
300013,11,301106,7,300702,1,10101,,,,,
300014,7,300703,1,10101,,,,,,,
300015,7,300705,1,10101,,,,,,,
300016,7,300706,1,10101,,,,,,,
300017,7,300707,1,10101,,,,,,,
300018,7,300708,1,10101,,,,,,,
300019,7,300709,1,10101,,,,,,,
300020,7,300710,1,10101,9,300903,,,,,
300021,7,300711,1,10101,,,,,,,
300022,7,300712,1,10101,,,,,,,
300023,7,300714,1,10101,,,,,,,
300024,7,300715,1,10101,,,,,,,
300025,7,300716,1,10101,14,301403,9,300904,,,
300026,7,300717,1,10101,,,,,,,
300027,7,300718,1,10101,,,,,,,
300028,7,300719,1,10101,,,,,,,
300029,7,300720,1,10101,,,,,,,
300030,7,300721,1,10101,,,,,,,
300031,7,300722,1,10101,,,,,,,
300032,7,300723,1,10101,,,,,,,
300033,7,300724,1,10101,,,,,,,
300034,7,300725,1,10101,,,,,,,
300035,7,300726,11,301103,1,10101,,,,,
300036,7,300727,1,10101,,,,,,,
300037,7,300728,1,10101,,,,,,,
300038,7,300729,1,10101,,,,,,,
300039,7,300730,1,10101,,,,,,,
300040,7,300731,1,10101,,,,,,,
300041,7,300732,1,10101,,,,,,,
300042,11,301101,7,300733,1,10101,,,,,
300043,11,301104,7,300734,1,10101,,,,,
300044,12,301201,,,,,,,,,
300045,12,301202,,,,,,,,,
300046,12,301203,,,,,,,,,
300047,12,301204,,,,,,,,,
300048,12,301205,,,,,,,,,
300049,12,301206,,,,,,,,,
300050,12,301207,,,,,,,,,
300051,12,301208,,,,,,,,,
300052,12,301209,,,,,,,,,
300053,12,301210,,,,,,,,,
300054,12,301211,,,,,,,,,
300055,12,301212,,,,,,,,,
300056,12,301213,,,,,,,,,
300057,12,301214,,,,,,,,,
300058,12,301215,,,,,,,,,
300059,12,301216,,,,,,,,,
300060,12,301217,,,,,,,,,
300061,12,301218,,,,,,,,,
300062,12,301219,,,,,,,,,
300063,14,301401,10,301002,9,300902,,,,,
300064,10,301001,,,,,,,,,
300065,7,300735,1,10101,,,,,,,
300066,7,300737,1,10101,,,,,,,
300067,7,300738,1,10101,,,,,,,
300068,7,300739,1,10101,,,,,,,
300069,14,301402,9,300901,,,,,,,
300070,8,300801,13,301303,,,,,,,
310001,4,310401,,,,,,,,,
310002,5,310501,,,,,,,,,
310003,5,310502,,,,,,,,,
310004,5,310503,,,,,,,,,
310005,5,310504,,,,,,,,,
310006,5,310505,,,,,,,,,
310007,5,310506,,,,,,,,,
310008,5,310507,,,,,,,,,
310009,7,310701,1,10101,,,,,,,
310010,7,310702,1,10101,,,,,,,
310011,7,310703,1,10101,,,,,,,
310012,7,310704,1,10101,9,310901,,,,,
310013,7,310705,1,10101,9,310902,,,,,
310014,7,310706,1,10101,,,,,,,
310015,7,310707,1,10101,,,,,,,
310016,7,310708,1,10101,9,310904,,,,,
310017,7,310709,1,10101,9,310903,,,,,
310018,7,310710,1,10101,,,,,,,
310019,7,310711,1,10101,,,,,,,
310020,7,310712,1,10101,,,,,,,
310021,7,310713,1,10101,,,,,,,
310022,7,310714,1,10101,,,,,,,
310023,7,310715,1,10101,,,,,,,
310024,7,310724,1,10101,,,,,,,
310025,8,310801,,,,,,,,,
310026,12,311201,,,,,,,,,
310035,7,310716,1,10101,,,,,,,
310036,7,310717,1,10101,,,,,,,
310037,7,310718,1,10101,,,,,,,
310038,7,310719,1,10101,,,,,,,
310039,7,310720,1,10101,,,,,,,
310040,7,310721,1,10101,,,,,,,
310041,7,310722,1,10101,,,,,,,
310042,7,310723,1,10101,,,,,,,
310044,14,311401,13,311301,20,312001,,,,,
310045,14,311402,13,311302,20,312001,,,,,
310046,14,311403,13,311303,20,312001,,,,,
310047,14,311404,13,311304,20,312001,,,,,
320001,4,320401,,,,,,,,,
320002,5,320501,,,,,,,,,
320003,5,320502,,,,,,,,,
320004,5,320503,,,,,,,,,
320005,5,320504,,,,,,,,,
320006,5,320505,,,,,,,,,
320007,5,320506,,,,,,,,,
320008,5,320507,,,,,,,,,
320009,7,320701,1,10101,,,,,,,
320010,7,320702,1,10101,,,,,,,
320011,7,320703,1,10101,,,,,,,
320012,7,320704,1,10101,,,,,,,
320013,7,320705,1,10101,,,,,,,
320014,7,320706,1,10101,9,320901,,,,,
320015,7,320707,1,10101,9,320902,,,,,
320016,7,320708,1,10101,,,,,,,
320017,7,320709,1,10101,,,,,,,
320018,7,320710,1,10101,,,,,,,
320019,7,320711,1,10101,,,,,,,
320020,7,320712,1,10101,9,320903,,,,,
320021,7,320713,1,10101,9,320904,,,,,
320022,7,320714,1,10101,,,,,,,
320023,7,320715,1,10101,,,,,,,
320024,7,320716,1,10101,,,,,,,
320025,7,320717,1,10101,,,,,,,
320026,7,320718,1,10101,,,,,,,
320027,7,320719,1,10101,,,,,,,
320028,7,320720,1,10101,,,,,,,
320029,19,321901,,,,,,,,,
320030,19,321902,,,,,,,,,
320031,19,321903,,,,,,,,,
320032,19,321904,,,,,,,,,
320033,21,322101,10,321002,13,321305,,,,,
320034,10,321001,,,,,,,,,
330001,4,330401,,,,,,,,,
330002,5,330501,,,,,,,,,
330003,5,330502,,,,,,,,,
330004,5,330503,,,,,,,,,
330005,5,330504,,,,,,,,,
330006,5,330505,,,,,,,,,
330007,5,330506,,,,,,,,,
330008,5,330507,,,,,,,,,
330009,7,330701,1,10101,,,,,,,
330010,7,330702,1,10101,,,,,,,
330011,7,330703,1,10101,,,,,,,
330012,7,330704,1,10101,,,,,,,
330013,7,330705,1,10101,,,,,,,
330014,7,330706,1,10101,9,330901,,,,,
330015,7,330707,1,10101,9,330902,,,,,
330016,7,330708,1,10101,,,,,,,
330017,7,330709,1,10101,,,,,,,
330018,7,330710,1,10101,,,,,,,
330019,7,330711,1,10101,,,,,,,
330020,7,330712,1,10101,9,330903,,,,,
330021,7,330713,1,10101,9,330904,,,,,
330022,7,330714,1,10101,,,,,,,
330023,7,330715,1,10101,,,,,,,
330024,7,330716,1,10101,,,,,,,
330025,7,330717,1,10101,,,,,,,
330026,7,330718,1,10101,,,,,,,
330027,7,330719,1,10101,,,,,,,
330028,7,330720,1,10101,,,,,,,
330029,19,331901,,,,,,,,,
330030,19,331902,,,,,,,,,
330031,19,331903,,,,,,,,,
330032,19,331904,,,,,,,,,
330033,21,332101,10,331002,13,331305,,,,,
330034,10,331001,,,,,,,,,
340001,4,340401,,,,,,,,,
340002,5,340501,,,,,,,,,
340003,5,340502,,,,,,,,,
340004,5,340503,,,,,,,,,
340005,5,340504,,,,,,,,,
340006,5,340505,,,,,,,,,
340007,5,340506,,,,,,,,,
340008,5,340507,,,,,,,,,
340009,7,340701,1,10101,,,,,,,
340010,7,340702,1,10101,,,,,,,
340011,7,340703,1,10101,,,,,,,
340012,7,340704,1,10101,,,,,,,
340013,7,340705,1,10101,,,,,,,
340014,7,340706,1,10101,9,340901,,,,,
340015,7,340707,1,10101,9,340902,,,,,
340016,7,340708,1,10101,,,,,,,
340017,7,340709,1,10101,,,,,,,
340018,7,340710,1,10101,,,,,,,
340019,7,340711,1,10101,,,,,,,
340020,7,340712,1,10101,9,340903,,,,,
340021,7,340713,1,10101,9,340904,,,,,
340022,7,340714,1,10101,,,,,,,
340023,7,340715,1,10101,,,,,,,
340024,7,340716,1,10101,,,,,,,
340025,7,340717,1,10101,,,,,,,
340026,7,340718,1,10101,,,,,,,
340027,7,340719,1,10101,,,,,,,
340028,7,340720,1,10101,,,,,,,
340029,19,341901,,,,,,,,,
340030,19,341902,,,,,,,,,
340031,19,341903,,,,,,,,,
340032,19,341904,,,,,,,,,
340033,21,342101,10,341002,13,341305,,,,,
340034,10,341001,,,,,,,,,
350001,4,350401,,,,,,,,,
350002,5,350501,,,,,,,,,
350003,5,350502,,,,,,,,,
350004,5,350503,,,,,,,,,
350005,5,350504,,,,,,,,,
350006,5,350505,,,,,,,,,
350007,5,350506,,,,,,,,,
350008,5,350507,,,,,,,,,
350009,7,350701,1,10101,,,,,,,
350010,7,350702,1,10101,,,,,,,
350011,7,350703,1,10101,,,,,,,
350012,7,350704,1,10101,,,,,,,
350013,7,350705,1,10101,,,,,,,
350014,7,350706,1,10101,9,350901,,,,,
350015,7,350707,1,10101,9,350902,,,,,
350016,7,350708,1,10101,,,,,,,
350017,7,350709,1,10101,,,,,,,
350018,7,350710,1,10101,,,,,,,
