id,level,seat,quality,levelUpNeedEX,proEX,getEX,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,pro-type-5,pro-way-5,pro-value-5,pro-type-6,pro-way-6,pro-value-6,
339,18,1,6,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
340,19,1,6,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
341,20,1,6,3800,34500,34500,2,0,15000,2,1,100,8,1,100,,,,,,,,,,
342,21,1,6,4200,38300,38300,2,0,15750,2,1,100,8,1,100,,,,,,,,,,
343,22,1,6,4600,42500,42500,2,0,16500,2,1,100,8,1,100,,,,,,,,,,
344,23,1,6,5000,47100,47100,2,0,17250,2,1,100,8,1,100,,,,,,,,,,
345,24,1,6,5400,52100,52100,2,0,18000,2,1,100,8,1,100,,,,,,,,,,
346,25,1,6,5800,57500,57500,2,0,18750,2,1,100,8,1,100,,,,,,,,,,
347,26,1,6,6200,63300,63300,2,0,19500,2,1,100,8,1,100,,,,,,,,,,
348,27,1,6,6600,69500,69500,2,0,20250,2,1,100,8,1,100,,,,,,,,,,
349,28,1,6,7000,76100,76100,2,0,21000,2,1,100,8,1,100,,,,,,,,,,
350,29,1,6,7400,83100,83100,2,0,21750,2,1,100,8,1,100,,,,,,,,,,
351,30,1,6,,90500,90500,2,0,22500,2,1,100,8,1,100,2,1,100,,,,,,,
352,0,2,6,500,,0,,,,,,,,,,,,,,,,,,,
353,1,2,6,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
354,2,2,6,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
355,3,2,6,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
356,4,2,6,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
357,5,2,6,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
358,6,2,6,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
359,7,2,6,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
360,8,2,6,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
361,9,2,6,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
362,10,2,6,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
363,11,2,6,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
364,12,2,6,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
365,13,2,6,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
366,14,2,6,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
367,15,2,6,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
368,16,2,6,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
369,17,2,6,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
370,18,2,6,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
371,19,2,6,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
372,20,2,6,3800,34500,34500,1,0,150000,1,1,100,9,1,100,,,,,,,,,,
373,21,2,6,4200,38300,38300,1,0,157500,1,1,100,9,1,100,,,,,,,,,,
374,22,2,6,4600,42500,42500,1,0,165000,1,1,100,9,1,100,,,,,,,,,,
375,23,2,6,5000,47100,47100,1,0,172500,1,1,100,9,1,100,,,,,,,,,,
376,24,2,6,5400,52100,52100,1,0,180000,1,1,100,9,1,100,,,,,,,,,,
377,25,2,6,5800,57500,57500,1,0,187500,1,1,100,9,1,100,,,,,,,,,,
378,26,2,6,6200,63300,63300,1,0,195000,1,1,100,9,1,100,,,,,,,,,,
379,27,2,6,6600,69500,69500,1,0,202500,1,1,100,9,1,100,,,,,,,,,,
380,28,2,6,7000,76100,76100,1,0,210000,1,1,100,9,1,100,,,,,,,,,,
381,29,2,6,7400,83100,83100,1,0,217500,1,1,100,9,1,100,,,,,,,,,,
382,30,2,6,,90500,90500,1,0,225000,1,1,100,9,1,100,1,1,100,,,,,,,
383,0,3,6,500,,0,,,,,,,,,,,,,,,,,,,
384,1,3,6,600,500,500,2,0,750,,,,,,,,,,,,,,,,
385,2,3,6,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
386,3,3,6,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
387,4,3,6,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
388,5,3,6,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
389,6,3,6,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
390,7,3,6,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
391,8,3,6,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
392,9,3,6,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
393,10,3,6,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
394,11,3,6,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
395,12,3,6,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
396,13,3,6,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
397,14,3,6,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
398,15,3,6,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
399,16,3,6,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
400,17,3,6,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
401,18,3,6,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
402,19,3,6,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
403,20,3,6,3800,34500,34500,2,0,15000,2,1,100,5,1,100,,,,,,,,,,
404,21,3,6,4200,38300,38300,2,0,15750,2,1,100,5,1,100,,,,,,,,,,
405,22,3,6,4600,42500,42500,2,0,16500,2,1,100,5,1,100,,,,,,,,,,
406,23,3,6,5000,47100,47100,2,0,17250,2,1,100,5,1,100,,,,,,,,,,
407,24,3,6,5400,52100,52100,2,0,18000,2,1,100,5,1,100,,,,,,,,,,
408,25,3,6,5800,57500,57500,2,0,18750,2,1,100,5,1,100,,,,,,,,,,
409,26,3,6,6200,63300,63300,2,0,19500,2,1,100,5,1,100,,,,,,,,,,
410,27,3,6,6600,69500,69500,2,0,20250,2,1,100,5,1,100,,,,,,,,,,
411,28,3,6,7000,76100,76100,2,0,21000,2,1,100,5,1,100,,,,,,,,,,
412,29,3,6,7400,83100,83100,2,0,21750,2,1,100,5,1,100,,,,,,,,,,
413,30,3,6,,90500,90500,2,0,22500,2,1,100,5,1,100,2,1,100,,,,,,,
414,0,4,6,500,,0,,,,,,,,,,,,,,,,,,,
415,1,4,6,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
416,2,4,6,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
417,3,4,6,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
418,4,4,6,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
419,5,4,6,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
420,6,4,6,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
421,7,4,6,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
422,8,4,6,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
423,9,4,6,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
424,10,4,6,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
425,11,4,6,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
426,12,4,6,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
427,13,4,6,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
428,14,4,6,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
429,15,4,6,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
430,16,4,6,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
431,17,4,6,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
432,18,4,6,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
433,19,4,6,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
434,20,4,6,3800,34500,34500,1,0,150000,1,1,100,7,1,100,,,,,,,,,,
435,21,4,6,4200,38300,38300,1,0,157500,1,1,100,7,1,100,,,,,,,,,,
436,22,4,6,4600,42500,42500,1,0,165000,1,1,100,7,1,100,,,,,,,,,,
437,23,4,6,5000,47100,47100,1,0,172500,1,1,100,7,1,100,,,,,,,,,,
438,24,4,6,5400,52100,52100,1,0,180000,1,1,100,7,1,100,,,,,,,,,,
439,25,4,6,5800,57500,57500,1,0,187500,1,1,100,7,1,100,,,,,,,,,,
440,26,4,6,6200,63300,63300,1,0,195000,1,1,100,7,1,100,,,,,,,,,,
441,27,4,6,6600,69500,69500,1,0,202500,1,1,100,7,1,100,,,,,,,,,,
442,28,4,6,7000,76100,76100,1,0,210000,1,1,100,7,1,100,,,,,,,,,,
443,29,4,6,7400,83100,83100,1,0,217500,1,1,100,7,1,100,,,,,,,,,,
444,30,4,6,,90500,90500,1,0,225000,1,1,100,7,1,100,1,1,100,,,,,,,
445,0,1,7,500,,0,,,,,,,,,,,,,,,,,,,
446,1,1,7,600,500,500,2,0,750,,,,,,,,,,,,,,,,
447,2,1,7,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
448,3,1,7,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
449,4,1,7,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
450,5,1,7,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
451,6,1,7,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
452,7,1,7,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
453,8,1,7,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
454,9,1,7,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
455,10,1,7,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
456,11,1,7,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
457,12,1,7,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
458,13,1,7,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
459,14,1,7,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
460,15,1,7,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
461,16,1,7,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
462,17,1,7,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
463,18,1,7,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
464,19,1,7,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
465,20,1,7,3800,34500,34500,2,0,15000,2,1,100,8,1,100,,,,,,,,,,
466,21,1,7,4200,38300,38300,2,0,15750,2,1,100,8,1,100,,,,,,,,,,
467,22,1,7,4600,42500,42500,2,0,16500,2,1,100,8,1,100,,,,,,,,,,
468,23,1,7,5000,47100,47100,2,0,17250,2,1,100,8,1,100,,,,,,,,,,
469,24,1,7,5400,52100,52100,2,0,18000,2,1,100,8,1,100,,,,,,,,,,
470,25,1,7,5800,57500,57500,2,0,18750,2,1,100,8,1,100,,,,,,,,,,
471,26,1,7,6200,63300,63300,2,0,19500,2,1,100,8,1,100,,,,,,,,,,
472,27,1,7,6600,69500,69500,2,0,20250,2,1,100,8,1,100,,,,,,,,,,
473,28,1,7,7000,76100,76100,2,0,21000,2,1,100,8,1,100,,,,,,,,,,
474,29,1,7,7400,83100,83100,2,0,21750,2,1,100,8,1,100,,,,,,,,,,
475,30,1,7,8200,90500,90500,2,0,22500,2,1,100,8,1,100,2,1,100,,,,,,,
476,31,1,7,9000,98700,98700,2,0,23250,2,1,100,8,1,100,2,1,100,,,,,,,
477,32,1,7,9800,107700,107700,2,0,24000,2,1,100,8,1,100,2,1,100,,,,,,,
478,33,1,7,10600,117500,117500,2,0,24750,2,1,100,8,1,100,2,1,100,,,,,,,
479,34,1,7,11400,128100,128100,2,0,25500,2,1,100,8,1,100,2,1,100,,,,,,,
480,35,1,7,,139500,139500,2,0,26250,2,1,100,8,1,100,2,1,100,,,,,,,
481,0,2,7,500,,0,,,,,,,,,,,,,,,,,,,
482,1,2,7,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
483,2,2,7,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
484,3,2,7,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
485,4,2,7,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
486,5,2,7,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
487,6,2,7,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
488,7,2,7,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
489,8,2,7,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
490,9,2,7,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
491,10,2,7,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
492,11,2,7,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
493,12,2,7,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
494,13,2,7,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
495,14,2,7,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
496,15,2,7,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
497,16,2,7,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
498,17,2,7,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
499,18,2,7,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
500,19,2,7,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
501,20,2,7,3800,34500,34500,1,0,150000,1,1,100,9,1,100,,,,,,,,,,
502,21,2,7,4200,38300,38300,1,0,157500,1,1,100,9,1,100,,,,,,,,,,
503,22,2,7,4600,42500,42500,1,0,165000,1,1,100,9,1,100,,,,,,,,,,
504,23,2,7,5000,47100,47100,1,0,172500,1,1,100,9,1,100,,,,,,,,,,
505,24,2,7,5400,52100,52100,1,0,180000,1,1,100,9,1,100,,,,,,,,,,
506,25,2,7,5800,57500,57500,1,0,187500,1,1,100,9,1,100,,,,,,,,,,
507,26,2,7,6200,63300,63300,1,0,195000,1,1,100,9,1,100,,,,,,,,,,
508,27,2,7,6600,69500,69500,1,0,202500,1,1,100,9,1,100,,,,,,,,,,
509,28,2,7,7000,76100,76100,1,0,210000,1,1,100,9,1,100,,,,,,,,,,
510,29,2,7,7400,83100,83100,1,0,217500,1,1,100,9,1,100,,,,,,,,,,
511,30,2,7,8200,90500,90500,1,0,225000,1,1,100,9,1,100,1,1,100,,,,,,,
512,31,2,7,9000,98700,98700,1,0,232500,1,1,100,9,1,100,1,1,100,,,,,,,
513,32,2,7,9800,107700,107700,1,0,240000,1,1,100,9,1,100,1,1,100,,,,,,,
514,33,2,7,10600,117500,117500,1,0,247500,1,1,100,9,1,100,1,1,100,,,,,,,
515,34,2,7,11400,128100,128100,1,0,255000,1,1,100,9,1,100,1,1,100,,,,,,,
516,35,2,7,,139500,139500,1,0,262500,1,1,100,9,1,100,1,1,100,,,,,,,
517,0,3,7,500,,0,,,,,,,,,,,,,,,,,,,
518,1,3,7,600,500,500,2,0,750,,,,,,,,,,,,,,,,
519,2,3,7,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
520,3,3,7,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
521,4,3,7,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
522,5,3,7,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
523,6,3,7,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
524,7,3,7,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
525,8,3,7,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
526,9,3,7,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
527,10,3,7,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
528,11,3,7,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
529,12,3,7,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
530,13,3,7,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
531,14,3,7,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
532,15,3,7,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
533,16,3,7,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
534,17,3,7,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
535,18,3,7,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
536,19,3,7,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
537,20,3,7,3800,34500,34500,2,0,15000,2,1,100,5,1,100,,,,,,,,,,
538,21,3,7,4200,38300,38300,2,0,15750,2,1,100,5,1,100,,,,,,,,,,
539,22,3,7,4600,42500,42500,2,0,16500,2,1,100,5,1,100,,,,,,,,,,
540,23,3,7,5000,47100,47100,2,0,17250,2,1,100,5,1,100,,,,,,,,,,
541,24,3,7,5400,52100,52100,2,0,18000,2,1,100,5,1,100,,,,,,,,,,
542,25,3,7,5800,57500,57500,2,0,18750,2,1,100,5,1,100,,,,,,,,,,
543,26,3,7,6200,63300,63300,2,0,19500,2,1,100,5,1,100,,,,,,,,,,
544,27,3,7,6600,69500,69500,2,0,20250,2,1,100,5,1,100,,,,,,,,,,
545,28,3,7,7000,76100,76100,2,0,21000,2,1,100,5,1,100,,,,,,,,,,
546,29,3,7,7400,83100,83100,2,0,21750,2,1,100,5,1,100,,,,,,,,,,
547,30,3,7,8200,90500,90500,2,0,22500,2,1,100,5,1,100,2,1,100,,,,,,,
548,31,3,7,9000,98700,98700,2,0,23250,2,1,100,5,1,100,2,1,100,,,,,,,
549,32,3,7,9800,107700,107700,2,0,24000,2,1,100,5,1,100,2,1,100,,,,,,,
550,33,3,7,10600,117500,117500,2,0,24750,2,1,100,5,1,100,2,1,100,,,,,,,
551,34,3,7,11400,128100,128100,2,0,25500,2,1,100,5,1,100,2,1,100,,,,,,,
552,35,3,7,,139500,139500,2,0,26250,2,1,100,5,1,100,2,1,100,,,,,,,
553,0,4,7,500,,0,,,,,,,,,,,,,,,,,,,
554,1,4,7,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
555,2,4,7,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
556,3,4,7,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
557,4,4,7,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
558,5,4,7,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
559,6,4,7,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
560,7,4,7,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
561,8,4,7,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
562,9,4,7,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
563,10,4,7,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
564,11,4,7,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
565,12,4,7,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
566,13,4,7,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
567,14,4,7,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
568,15,4,7,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
569,16,4,7,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
570,17,4,7,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
571,18,4,7,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
572,19,4,7,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
573,20,4,7,3800,34500,34500,1,0,150000,1,1,100,7,1,100,,,,,,,,,,
574,21,4,7,4200,38300,38300,1,0,157500,1,1,100,7,1,100,,,,,,,,,,
575,22,4,7,4600,42500,42500,1,0,165000,1,1,100,7,1,100,,,,,,,,,,
576,23,4,7,5000,47100,47100,1,0,172500,1,1,100,7,1,100,,,,,,,,,,
577,24,4,7,5400,52100,52100,1,0,180000,1,1,100,7,1,100,,,,,,,,,,
578,25,4,7,5800,57500,57500,1,0,187500,1,1,100,7,1,100,,,,,,,,,,
579,26,4,7,6200,63300,63300,1,0,195000,1,1,100,7,1,100,,,,,,,,,,
580,27,4,7,6600,69500,69500,1,0,202500,1,1,100,7,1,100,,,,,,,,,,
581,28,4,7,7000,76100,76100,1,0,210000,1,1,100,7,1,100,,,,,,,,,,
582,29,4,7,7400,83100,83100,1,0,217500,1,1,100,7,1,100,,,,,,,,,,
583,30,4,7,8200,90500,90500,1,0,225000,1,1,100,7,1,100,1,1,100,,,,,,,
584,31,4,7,9000,98700,98700,1,0,232500,1,1,100,7,1,100,1,1,100,,,,,,,
585,32,4,7,9800,107700,107700,1,0,240000,1,1,100,7,1,100,1,1,100,,,,,,,
586,33,4,7,10600,117500,117500,1,0,247500,1,1,100,7,1,100,1,1,100,,,,,,,
587,34,4,7,11400,128100,128100,1,0,255000,1,1,100,7,1,100,1,1,100,,,,,,,
588,35,4,7,,139500,139500,1,0,262500,1,1,100,7,1,100,1,1,100,,,,,,,
589,0,1,8,500,,0,,,,,,,,,,,,,,,,,,,
590,1,1,8,600,500,500,2,0,750,,,,,,,,,,,,,,,,
591,2,1,8,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
592,3,1,8,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
593,4,1,8,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
594,5,1,8,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
595,6,1,8,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
596,7,1,8,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
597,8,1,8,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
598,9,1,8,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
599,10,1,8,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
600,11,1,8,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
601,12,1,8,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
602,13,1,8,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
603,14,1,8,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
604,15,1,8,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
605,16,1,8,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
606,17,1,8,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
607,18,1,8,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
608,19,1,8,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
609,20,1,8,3800,34500,34500,2,0,15000,2,1,100,8,1,100,,,,,,,,,,
610,21,1,8,4200,38300,38300,2,0,15750,2,1,100,8,1,100,,,,,,,,,,
611,22,1,8,4600,42500,42500,2,0,16500,2,1,100,8,1,100,,,,,,,,,,
612,23,1,8,5000,47100,47100,2,0,17250,2,1,100,8,1,100,,,,,,,,,,
613,24,1,8,5400,52100,52100,2,0,18000,2,1,100,8,1,100,,,,,,,,,,
614,25,1,8,5800,57500,57500,2,0,18750,2,1,100,8,1,100,,,,,,,,,,
615,26,1,8,6200,63300,63300,2,0,19500,2,1,100,8,1,100,,,,,,,,,,
616,27,1,8,6600,69500,69500,2,0,20250,2,1,100,8,1,100,,,,,,,,,,
617,28,1,8,7000,76100,76100,2,0,21000,2,1,100,8,1,100,,,,,,,,,,
618,29,1,8,7400,83100,83100,2,0,21750,2,1,100,8,1,100,,,,,,,,,,
619,30,1,8,8200,90500,90500,2,0,22500,2,1,100,8,1,100,2,1,100,,,,,,,
620,31,1,8,9000,98700,98700,2,0,23250,2,1,100,8,1,100,2,1,100,,,,,,,
621,32,1,8,9800,107700,107700,2,0,24000,2,1,100,8,1,100,2,1,100,,,,,,,
622,33,1,8,10600,117500,117500,2,0,24750,2,1,100,8,1,100,2,1,100,,,,,,,
623,34,1,8,11400,128100,128100,2,0,25500,2,1,100,8,1,100,2,1,100,,,,,,,
624,35,1,8,12200,139500,139500,2,0,26250,2,1,100,8,1,100,2,1,100,,,,,,,
625,36,1,8,13000,151700,151700,2,0,27000,2,1,100,8,1,100,2,1,100,,,,,,,
626,37,1,8,13800,164700,164700,2,0,27750,2,1,100,8,1,100,2,1,100,,,,,,,
627,38,1,8,14600,178500,178500,2,0,28500,2,1,100,8,1,100,2,1,100,,,,,,,
628,39,1,8,15400,193100,193100,2,0,29250,2,1,100,8,1,100,2,1,100,,,,,,,
629,40,1,8,,208500,208500,2,0,30000,2,1,100,8,1,100,2,1,100,8,1,100,,,,
630,0,2,8,500,,0,,,,,,,,,,,,,,,,,,,
631,1,2,8,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
632,2,2,8,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
633,3,2,8,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
634,4,2,8,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
635,5,2,8,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
636,6,2,8,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
637,7,2,8,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
638,8,2,8,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
639,9,2,8,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
640,10,2,8,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
641,11,2,8,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
642,12,2,8,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
643,13,2,8,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
644,14,2,8,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
645,15,2,8,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
646,16,2,8,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
647,17,2,8,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
648,18,2,8,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
649,19,2,8,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
650,20,2,8,3800,34500,34500,1,0,150000,1,1,100,9,1,100,,,,,,,,,,
651,21,2,8,4200,38300,38300,1,0,157500,1,1,100,9,1,100,,,,,,,,,,
652,22,2,8,4600,42500,42500,1,0,165000,1,1,100,9,1,100,,,,,,,,,,
653,23,2,8,5000,47100,47100,1,0,172500,1,1,100,9,1,100,,,,,,,,,,
654,24,2,8,5400,52100,52100,1,0,180000,1,1,100,9,1,100,,,,,,,,,,
655,25,2,8,5800,57500,57500,1,0,187500,1,1,100,9,1,100,,,,,,,,,,
656,26,2,8,6200,63300,63300,1,0,195000,1,1,100,9,1,100,,,,,,,,,,
657,27,2,8,6600,69500,69500,1,0,202500,1,1,100,9,1,100,,,,,,,,,,
