level,playerExp,expCost,silverCost,nextLevel,levelUpReward,openContent,breachAddCombat,starAddCombat,propertyAddCombat,equipCastCombat%1,equipCastCombat%2,equipCastCombat%3,equipCastCombat%4,talentCombat%1,talentCombat%2,talentCombat%3,talentCombat%4,talentCombat%5,talentCombat%6,talentCombat%7,talentCombat%8,talentCombat%9,petUpExp,petStar,petFly,
334,,2425415,2849764,335,135,3002,,,,,,,,,,,,,,,,,214760,,,
335,,2484656,2911165,336,135,3002,,,,,,,,,,,,,,,,,215410,,,
336,,2502508,2938744,337,135,3002,,,,,,,,,,,,,,,,,216060,,,
337,,2520360,2968006,338,135,3002,,,,,,,,,,,,,,,,,216710,,,
338,,2538212,2910850,339,135,3002,,,,,,,,,,,,,,,,,217360,,,
339,,2555528,2997268,340,135,3002,,,,,,,,,,,,,,,,,218010,,,
340,,2582038,3026530,341,135,3002,,,,,,,,,,,,,,,,,0,,,
341,,2608548,3055792,342,135,3002,,,,,,,,,,,,,,,,,,,,
342,,2635058,3085054,343,135,3002,,,,,,,,,,,,,,,,,,,,
343,,2661568,3114316,344,135,3002,,,,,,,,,,,,,,,,,,,,
344,,2688078,3143578,345,135,3002,,,,,,,,,,,,,,,,,,,,
345,,2714588,3172840,346,135,3002,,,,,,,,,,,,,,,,,,,,
346,,2741098,3202102,347,135,3002,,,,,,,,,,,,,,,,,,,,
347,,2767608,3231364,348,135,3002,,,,,,,,,,,,,,,,,,,,
348,,2794118,3260626,349,135,3002,,,,,,,,,,,,,,,,,,,,
349,,2820628,3289888,350,135,3002,,,,,,,,,,,,,,,,,,,,
350,,2847138,3319150,351,135,3002,,,,,,,,,,,,,,,,,,,,
351,,2875609,3352342,352,135,3002,,,,,,,,,,,,,,,,,,,,
352,,2904365,3385865,353,135,3002,,,,,,,,,,,,,,,,,,,,
353,,2933409,3419724,354,135,3002,,,,,,,,,,,,,,,,,,,,
354,,2962743,3453921,355,135,3002,,,,,,,,,,,,,,,,,,,,
355,,2992370,3488460,356,135,3002,,,,,,,,,,,,,,,,,,,,
356,,3022294,3523345,357,135,3002,,,,,,,,,,,,,,,,,,,,
357,,3052517,3558578,358,135,3002,,,,,,,,,,,,,,,,,,,,
358,,3083042,3594164,359,135,3002,,,,,,,,,,,,,,,,,,,,
359,,3113872,3630106,360,135,3002,,,,,,,,,,,,,,,,,,,,
360,,3145011,3666407,361,135,3002,,,,,,,,,,,,,,,,,,,,
361,,3176461,3703071,362,135,3002,,,,,,,,,,,,,,,,,,,,
362,,3208226,3740102,363,135,3002,,,,,,,,,,,,,,,,,,,,
363,,3240308,3777503,364,135,3002,,,,,,,,,,,,,,,,,,,,
364,,3272711,3815278,365,135,3002,,,,,,,,,,,,,,,,,,,,
365,,3305438,3853431,366,135,3002,,,,,,,,,,,,,,,,,,,,
366,,3338492,3891965,367,135,3002,,,,,,,,,,,,,,,,,,,,
367,,3371877,3930885,368,135,3002,,,,,,,,,,,,,,,,,,,,
368,,3405596,3970194,369,135,3002,,,,,,,,,,,,,,,,,,,,
369,,3439652,4009896,370,135,3002,,,,,,,,,,,,,,,,,,,,
370,,3474049,4049995,371,135,3002,,,,,,,,,,,,,,,,,,,,
371,,3508789,4090495,372,135,3002,,,,,,,,,,,,,,,,,,,,
372,,3543877,4131400,373,135,3002,,,,,,,,,,,,,,,,,,,,
373,,3579316,4172714,374,135,3002,,,,,,,,,,,,,,,,,,,,
374,,3615109,4214441,375,135,3002,,,,,,,,,,,,,,,,,,,,
375,,3651260,4256585,376,135,3002,,,,,,,,,,,,,,,,,,,,
376,,3687773,4299151,377,135,3002,,,,,,,,,,,,,,,,,,,,
377,,3724651,4342143,378,135,3002,,,,,,,,,,,,,,,,,,,,
378,,3761898,4385564,379,135,3002,,,,,,,,,,,,,,,,,,,,
379,,3799517,4429420,380,135,3002,,,,,,,,,,,,,,,,,,,,
380,,3837512,4473714,381,135,3002,,,,,,,,,,,,,,,,,,,,
381,,3875887,4518451,382,135,3002,,,,,,,,,,,,,,,,,,,,
382,,3914646,4563636,383,135,3002,,,,,,,,,,,,,,,,,,,,
383,,3953792,4609272,384,135,3002,,,,,,,,,,,,,,,,,,,,
384,,3993330,4655365,385,135,3002,,,,,,,,,,,,,,,,,,,,
385,,4033263,4701919,386,135,3002,,,,,,,,,,,,,,,,,,,,
386,,4073596,4748938,387,135,3002,,,,,,,,,,,,,,,,,,,,
387,,4114332,4796427,388,135,3002,,,,,,,,,,,,,,,,,,,,
388,,4155475,4844391,389,135,3002,,,,,,,,,,,,,,,,,,,,
389,,4197030,4892835,390,135,3002,,,,,,,,,,,,,,,,,,,,
390,,4239000,4941763,391,135,3002,,,,,,,,,,,,,,,,,,,,
391,,4281390,4991181,392,135,3002,,,,,,,,,,,,,,,,,,,,
392,,4324204,5041093,393,135,3002,,,,,,,,,,,,,,,,,,,,
393,,4367446,5091504,394,135,3002,,,,,,,,,,,,,,,,,,,,
394,,4411120,5142419,395,135,3002,,,,,,,,,,,,,,,,,,,,
395,,4455231,5193843,396,135,3002,,,,,,,,,,,,,,,,,,,,
396,,4499783,5245781,397,135,3002,,,,,,,,,,,,,,,,,,,,
397,,4544781,5298239,398,135,3002,,,,,,,,,,,,,,,,,,,,
398,,4590229,5351221,399,135,3002,,,,,,,,,,,,,,,,,,,,
399,,4636131,5404733,400,135,3002,,,,,,,,,,,,,,,,,,,,
400,,4682492,5458780,401,135,3002,,,,,,,,,,,,,,,,,,,,
