id,name,detail,isPassive,type,round,combine,exForce,exRound,useTimes,noDispel,forever,subCls,priority,checkDead,eventType,Func-use-1,Func-id-1,Func-value-1,Func-calcFun-1,Func-dependentTarget-1,Func-dependentType-1,Func-dependentId-1,Func-dependentCalcType-1,Func-dependentValue-1,Func-exDependentValue-1,Func-use-2,Func-id-2,Func-value-2,Func-calcFun-2,Func-dependentTarget-2,Func-dependentType-2,Func-dependentId-2,Func-dependentCalcType-2,Func-dependentValue-2,Func-exDependentValue-2,conditionType,condition-condition-1,condition-conditionValue-1,condition-conditionParam-1,condition-condition-2,condition-conditionValue-2,condition-conditionParam-2,iconId,buffEnterArmatureId,buffEnterAnim,buffEnterBackArmatureId,buffEnterBackAnim,buffSustainArmatureId,buffSustainAnim,buffSustainBackArmatureId,buffSustainBackAnim,buffRemoveArmatureId,buffRemoveAnim,buffRemoveBackArmatureId,buffRemoveBackAnim,buffHramArmatureId,buffHramAnim,buffHramBackArmatureId,buffHramBackAnim,pauseHeroAnim,heroGray,posType,reverse,spBuffEffectId,flyWordPicId,buffFlyWordType,isForce,
311551,s==12|Miễn Thương ,s==36|Tăng miễn thương 11%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1100,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
311561,s==12|Miễn Thương ,s==38|Tăng miễn thương 11.5%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1150,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
311571,s==12|Miễn Thương ,s==36|Tăng miễn thương 12%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1200,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
311581,s==12|Miễn Thương ,s==38|Tăng miễn thương 12.5%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1250,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
311591,s==12|Miễn Thương ,s==36|Tăng miễn thương 13%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1300,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101212,s==5|Hộ Ấn,s==100|Lượng khiên bằng 10% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,1000,1,3,1,1,1,1000,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101222,s==5|Hộ Ấn,s==100|Lượng khiên bằng 15% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,1500,1,3,1,1,1,1500,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101232,s==5|Hộ Ấn,s==100|Lượng khiên bằng 20% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2000,1,3,1,1,1,2000,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101242,s==5|Hộ Ấn,s==100|Lượng khiên bằng 21% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2100,1,3,1,1,1,2100,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101252,s==5|Hộ Ấn,s==100|Lượng khiên bằng 22% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2200,1,3,1,1,1,2200,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101262,s==5|Hộ Ấn,s==100|Lượng khiên bằng 23% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2300,1,3,1,1,1,2300,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101272,s==5|Hộ Ấn,s==100|Lượng khiên bằng 24% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2400,1,3,1,1,1,2400,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101282,s==5|Hộ Ấn,s==100|Lượng khiên bằng 25% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2500,1,3,1,1,1,2500,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101292,s==5|Hộ Ấn,s==100|Lượng khiên bằng 26% sinh mệnh tối đa của người mang trạng thái， kéo dài 2 lượt， không thể giải trừ.,,1,2,-3,,,,1,,17902,,,,6,1,2600,1,3,1,1,1,2600,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
31101213,s==10|Công Kích ,s==33|Tấn công tăng 10%， duy trì 2 lượt,,1,2,-1,,,,,,17401,,,,5,2,1000,1,3,1,2,1,1000,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101223,s==10|Công Kích ,s==33|Tấn công tăng 15%， duy trì 2 lượt,,1,2,-1,,,,,,17401,,,,5,2,1500,1,3,1,2,1,1500,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101233,s==10|Công Kích ,s==33|Tấn công tăng 20%， duy trì 2 lượt,,1,2,-1,,,,,,17401,,,,5,2,2000,1,3,1,2,1,2000,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101243,s==10|Công Kích ,s==35|Tăng công kích 21%， kéo dài 2 lượt.,,1,2,-1,,,,,,17401,,,,5,2,2100,1,3,1,2,1,2100,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101253,s==10|Công Kích ,s==35|Tăng công kích 22%， kéo dài 2 lượt.,,1,2,-1,,,,,,17401,,,,5,2,2200,1,3,1,2,1,2200,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101263,s==10|Công Kích ,s==35|Tăng công kích 23%， kéo dài 2 lượt.,,1,2,-1,,,,,,17401,,,,5,2,2300,1,3,1,2,1,2300,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101273,s==10|Công Kích ,s==35|Tăng công kích 24%， kéo dài 2 lượt.,,1,2,-1,,,,,,17401,,,,5,2,2400,1,3,1,2,1,2400,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101283,s==10|Công Kích ,s==34|Công kích tăng 25%， kéo dài 2 lượt,,1,2,-1,,,,,,17401,,,,5,2,2500,1,3,1,2,1,2500,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101293,s==10|Công Kích ,s==33|Tấn công tăng 26%， duy trì 2 lượt,,1,2,-1,,,,,,17401,,,,5,2,2600,1,3,1,2,1,2600,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
31101214,s==9|Bạo kích ,s==38|Tỷ lệ chí mạng tăng 5%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,500,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101224,s==9|Bạo kích ,s==39|Tỷ lệ bạo kích tăng 10%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101234,s==9|Bạo kích ,s==39|Tỷ lệ bạo kích tăng 15%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,1500,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101244,s==9|Bạo kích ,s==39|Tỷ lệ chí mạng tăng 16%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,1600,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101254,s==9|Bạo kích ,s==39|Tỷ lệ chí mạng tăng 17%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,1700,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101264,s==9|Bạo kích ,s==39|Tỷ lệ chí mạng tăng 18%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,1800,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101274,s==9|Bạo kích ,s==39|Tỷ lệ chí mạng tăng 19%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,1900,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101284,s==9|Bạo kích ,s==39|Tỷ lệ bạo kích tăng 20%， kéo dài 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,2000,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101294,s==9|Bạo kích ,s==39|Tỷ lệ bạo kích tăng 21%， duy trì 2 lượt,,1,2,-1,,,,,,17405,,,,5,5,2100,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,105,,,
31101511,s==12|Miễn Thương ,s==35|Tăng miễn thương 5%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,500,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101521,s==12|Miễn Thương ,s==35|Tăng miễn thương 7%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,700,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101531,s==12|Miễn Thương ,s==36|Tăng miễn thương 10%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101541,s==12|Miễn Thương ,s==38|Tăng miễn thương 10.5%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1050,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101551,s==12|Miễn Thương ,s==36|Tăng miễn thương 11%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1100,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101561,s==12|Miễn Thương ,s==38|Tăng miễn thương 11.5%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1150,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101571,s==12|Miễn Thương ,s==36|Tăng miễn thương 12%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1200,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101581,s==12|Miễn Thương ,s==38|Tăng miễn thương 12.5%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1250,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101591,s==12|Miễn Thương ,s==36|Tăng miễn thương 13%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,1300,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31101601,s==14|Kháng tiêu cực,s==30|Kháng tất cả hiệu quả tiêu cực,,1,1,-1,,,,1,,17588,,,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,2015,,,
312212,s==10|Điểm Nhiệt,s==135|Tướng mang trạng thái này mỗi lượt mất đi 【Sức mạnh công kích của người thi triển * 25%】 sinh mệnh， duy trì 2 lượt， tối đa chồng 5 tầng,,2,2,5,,,,,,3,,,,4,99,,1,1,1,2,1,2500,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
312213,s==11|Sát thương ,s==56|Tăng sát thương 10%， duy trì 1 lượt， có thể chồng 2 tầng,,1,2,2,,,,,,17401,,,,5,10,1000,0,,,,,,,,,,,,,,,,,,,,,,,,17125,19,s==9|effect_in,,,,,19,s==11|effect_idle,,,,,,,,,,,3,1,,109,,,
312412,s==6|Hôn Mê,s==61|Tướng mang trạng thái này không thể hành động， kéo dài 2 lượt,,2,2,-1,,,,,,10,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,17209,,,,,9,s==15|effect_hunmi_cx,,,,,,,,,,,,,1,,,321,,,
312413,s==14|Phòng Ngự Giảm,s==34|Phòng ngự giảm 10%， kéo dài 2 lượt,,2,2,-1,,,,,,17502,,,,5,3,1000,1,3,1,3,1,1000,,,,,,,,,,,,,,,,,,,17107,,,,,,,,,,,,,,,,,,,,,,202,,,
312414,s==14|Công Kích Giảm,s==33|Tấn công giảm 10%， duy trì 2 lượt,,2,2,-1,,,,,,17501,,,,5,2,1000,1,3,1,2,1,1000,,,,,,,,,,,,,,,,,,,17111,,,,,,,,,,,,,,,,,,,,,,201,,,
312424,s==14|Công Kích Giảm,s==34|Công kích giảm 15%， kéo dài 2 lượt,,2,2,-1,,,,,,17501,,,,5,2,1500,1,3,1,2,1,1500,,,,,,,,,,,,,,,,,,,17111,,,,,,,,,,,,,,,,,,,,,,201,,,
312434,s==14|Công Kích Giảm,s==34|Công kích giảm 20%， kéo dài 2 lượt,,2,2,-1,,,,,,17501,,,,5,2,2000,1,3,1,2,1,2000,,,,,,,,,,,,,,,,,,,17111,,,,,,,,,,,,,,,,,,,,,,201,,,
314212,s==10|Điểm Nhiệt,s==128|Tướng mang trạng thái này mỗi lượt mất sinh mệnh bằng 20% công kích của người thi triển， kéo dài 2 lượt， tối đa cộng dồn 5 tầng.,,2,2,5,,,,,,3,,,,4,99,,1,1,1,2,1,1500,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
314213,s==6|Hộ Hựu,s==113|Tướng mang trạng thái này chịu sát thương 35% sẽ do người thi triển gánh chịu， duy trì 1 lượt， không thể giải trừ,,1,1,-1,,,,1,,30,,,,,,3500,,,,,,,,,,5000,,,,,,,,,,,,,,,17211,,,15,s==9|effect_in,,,15,s==11|effect_idle,,,,,,,,,,,3,1,,320,,,
314412,s==12|Miễn Thương ,s==36|Tăng miễn thương 20%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,2000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
314422,s==12|Miễn Thương ,s==36|Tăng miễn thương 25%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,2500,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
314432,s==12|Miễn Thương ,s==36|Tăng miễn thương 30%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,3000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
314511,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 3%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,150,1,1,1,1,1,150,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314521,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 4%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,200,1,1,1,1,1,200,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314531,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,250,1,1,1,1,1,250,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314541,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.2%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,260,1,1,1,1,1,260,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314551,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.4%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,270,1,1,1,1,1,270,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314561,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.6%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,280,1,1,1,1,1,280,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314571,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.8%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,290,1,1,1,1,1,290,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314581,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 6%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,300,1,1,1,1,1,300,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
314591,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 6.2%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,310,1,1,1,1,1,310,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
235064111,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,250,1,1,1,1,1,250,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401212,s==10|Điểm Nhiệt,s==128|Tướng mang trạng thái này mỗi lượt mất sinh mệnh bằng 20% công kích của người thi triển， kéo dài 2 lượt， tối đa cộng dồn 5 tầng.,,2,2,5,,,,,,3,,,,4,99,,1,1,1,2,1,1500,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
31401213,s==6|Hộ Hựu,s==113|Tướng mang trạng thái này chịu sát thương 50% sẽ do người thi triển gánh chịu， duy trì 1 lượt， không thể giải trừ,,1,1,-1,,,,1,,30,,,,,,5000,,,,,,,,,,5000,,,,,,,,,,,,,,,17211,,,15,s==9|effect_in,,,15,s==11|effect_idle,,,,,,,,,,,3,1,,320,,,
31401412,s==12|Miễn Thương ,s==36|Tăng miễn thương 20%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,2000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31401422,s==12|Miễn Thương ,s==36|Tăng miễn thương 25%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,2500,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31401432,s==12|Miễn Thương ,s==36|Tăng miễn thương 30%， duy trì 2 lượt,,1,2,-1,,,,,,11,,,,5,11,3000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
31401511,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 3%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,150,1,1,1,1,1,150,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401521,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 4%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,200,1,1,1,1,1,200,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401531,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,250,1,1,1,1,1,250,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401541,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.2%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,260,1,1,1,1,1,260,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401551,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.4%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,270,1,1,1,1,1,270,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401561,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.6%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,280,1,1,1,1,1,280,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401571,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 5.8%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,290,1,1,1,1,1,290,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401581,s==10|Nghiệp hỏa,s==164|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 6%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,300,1,1,1,1,1,300,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401591,s==10|Nghiệp hỏa,s==166|Tướng mang trạng thái này mỗi lượt mất đi 【Giới hạn sinh mệnh của người thi triển * 6.2%】 sinh mệnh， duy trì 1 lượt， hiệu quả này không thể chồng (không thể giải trừ),,2,1,-1,,,,1,,3,,,,4,99,310,1,1,1,1,1,310,,,,,,,,,,,,,,,,,,,17227,,,,,,,,,,,,,,,,,,,,,,346,1,,
31401214,s==6|Hộ Hựu,s==110|Tướng mang trạng thái này chịu thương tổn 15% sẽ do kẻ thi triển gánh chịu， kéo dài 1 lượt， không thể giải trừ,,1,1,-1,,,,1,,30,,,,,,1500,,,,,,,,,,5000,,,,,,,,,,,,,,,17211,,,15,s==9|effect_in,,,15,s==11|effect_idle,,,,,,,,,,,3,1,,320,,,
315212,s==10|Điểm Nhiệt,s==126|Tướng mang trạng thái này mỗi lượt mất đi 【Công lực của kẻ thi triển * 30%】 sinh mệnh， kéo dài 3 lượt， tối đa chồng lên 5 tầng,,2,3,5,,,,,,3,,,,4,99,,1,1,1,2,1,3000,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
315532,s==10|Điểm Nhiệt,s==147|Tướng mang trạng thái này mỗi lượt mất đi 【Công lực của kẻ thi triển * 25%】 sinh mệnh， kéo dài 4 lượt， tối đa chồng lên 5 tầng (không thể giải trừ),,2,4,5,,,,1,,3,,,,4,99,,1,1,1,2,1,2500,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
316212,s==11|Thoái Nhược,s==24|Sát thương nhận vào  30%,,2,2,-1,,,,,,17507,,,,5,102,1000,0,,,,,,,,,,,,,,,,,,,,,,,,17116,,,,,,,,,,,,,,,,,,,,,,312,,,
316218,s==11|Thoái Nhược,s==24|Sát thương nhận vào  10%,,2,2,-1,,,,,,17507,,,,5,102,1000,0,,,,,,,,,,,,,,,,,,,,,,,,17116,,,,,,,,,,,,,,,,,,,,,,312,,,
316411,s==18|Thánh Huyết Hộ Thể,s==145|Tướng mang trạng thái này khi bị tấn công， kẻ tấn công sẽ chịu 【Sát thương lần này * 15%】 sát thương phản lại， kéo dài 2 lượt， không thể giải trừ,1,1,2,-1,,,,1,,82,,,s==3|4:5,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,17215,18,s==9|effect_in,,,18,s==11|effect_idle,,,18,s==10|effect_out,,,,,,,,,3,1,,335,,,
316421,s==18|Thánh Huyết Hộ Thể,s==125|Tướng mang trạng thái này khi bị tấn công， kẻ tấn công sẽ chịu 【thương tổn lần này * 20%】， kéo dài 2 lượt， không thể giải trừ,1,1,2,-1,,,,1,,82,,,s==3|4:5,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,17215,18,s==9|effect_in,,,18,s==11|effect_idle,,,18,s==10|effect_out,,,,,,,,,3,1,,335,,,
